com.adobe.aemds.guide.aemds-guide-core-impl, 6.0.96, Adaptive Forms Core Implementation
com.adobe.aemfd.expeditor.aemfd-expeditor-utils-bundle, 5.0.76, Expression Editor Utils Bundle
afml, 3.0.628531, Adobe FO Markup Layout Library
org.antlr.antlr4-runtime, 4.7.1, ANTLR 4 Runtime
com.adobe.aemfd.ccm.multichannel-ccm-multi-channel-core, 2.0.66, Multi Channel Core
com.adobe.cq.cdn.cdn-rewriter, 2.2.0, CDN Integration Bundle
com.adobe.cq.cloud-config.components, 1.0.0, Adobe CQ Cloud Config Components Bundle
com.adobe.cq.cloud-config.core, 1.0.12, Adobe CQ Cloud Config Core Bundle
com.adobe.cq.cloud-config.ui, 1.1.2, Adobe CQ Cloud Config UI Bundle
org.apache.cocoon.cocoon-xml, 2.0.2, Apache Cocoon XML Utilities
com.adobe.aem.transaction-core, 2.0.38, AEM Forms Transaction Core Bundle
com.adobe.cq.com.adobe.cq.editor, 1.3.18, AEM UI WCM Editor Bundle
com.adobe.cq.export.json, 0.2.6, Adobe CQ JSON Exporter
com.adobe.cq.export.json.impl, 0.2.10, Adobe CQ JSON Exporter Implementation
com.adobe.cq.gson, 2.8.9, Gson
com.adobe.cq.com.adobe.cq.msm.ui, 0.2.20, AEM MSM - UI Utilities
com.adobe.cq.com.adobe.cq.projects.api, 0.5.2, CQ Projects - API Bundle
com.adobe.cq.com.adobe.cq.projects.core, 0.5.30.CQ650-B0006, CQ Projects - Core Bundle
com.adobe.cq.com.adobe.cq.projects.ui, 0.5.0, CQ Projects - UI Bundle
com.adobe.cq.com.adobe.cq.projects.wcm.core, 0.5.0, WCM Projects - Core Bundle
com.adobe.cq.screens.com.adobe.cq.screens, 1.4.178, AEM Screens - Core
com.adobe.cq.screens.com.adobe.cq.screens.dcc, 1.4.10, AEM Screens - DCC
com.adobe.cq.screens.com.adobe.cq.screens.mq.core, 1.1.0, Adobe Screens JMS implementation
com.adobe.cq.screens.com.adobe.cq.screens.sessions, 1.4.4, AEM Screens - Core (Session Support)
com.adobe.cq.com.adobe.cq.sites.ui, 0.3.10, AEM Sites - UI Utilities
com.adobe.cq.com.adobe.cq.ui.commons, 1.3.59.CQ650-B0003, AEM UI WCM Commons Bundle
com.adobe.cq.wcm.com.adobe.cq.wcm.jobs.async, 1.0.44, Adobe AEM - WCM Asynchronous Jobs support
com.adobe.cq.com.adobe.cq.wcm.style, 1.1.3.CQ650-B0002, AEM WCM Style API
com.day.cq.com.adobe.cq.wcm.ui.components, 1.1.2, AEM WCM Components - UI Utilities
com.adobe.granite.acp.platform, 0.3.34, Adobe Granite ACP Platform
com.adobe.granite.activitystreams, 0.0.46, Adobe Granite Activity Streams
com.adobe.granite.asset.api, 2.0.12, Adobe Granite Asset API
com.adobe.granite.asset.core, 2.2.64.CQ650-B0003, Adobe Granite Asset API Implementation
com.day.cq.cq-authhandler, 5.6.92.CQ650-B0006, Adobe Granite Authentication Handler
com.adobe.granite.auth.cert, 0.0.16, Adobe Granite Certificate Authentication Handler
com.adobe.granite.auth.ims, 1.4.48, Adobe Granite IMSAuthentication Handler
com.adobe.granite.auth.oauth, 1.10.32.B0004, Adobe Granite OAuth Authentication Handler
com.adobe.granite.auth.saml, 1.0.56.CQ-650-B0002, Adobe Granite - SAML 2.0 Authentication Handler
com.adobe.granite.auth.sso, 0.0.28, Adobe Granite SSO Authentication Handler
com.adobe.granite.bundles.hc.impl, 1.0.42, Adobe Granite Health Checks related to bundles
com.adobe.granite.cloudsettings.core, 1.2.4, Adobe Granite Cloud Settings Core Bundle
com.adobe.granite.comments, 1.0.34, Adobe Granite Commenting Support
com.adobe.granite.compat-router, 1.0.4, Adobe Granite Compat Router
com.adobe.granite.conf, 1.0.20, Adobe Granite Context-Aware Configuration Extension
com.adobe.granite.conf.ui.core, 0.0.40, Adobe Granite Configuration Manager UI Core Module
com.adobe.granite.confmgr, 1.2.18, Adobe Granite Conf Manager
com.adobe.granite.contexthub.commons, 0.2.7.CQ651-B0004, Adobe Granite ContextHub Commons
com.adobe.granite.cors, 1.0.10.CQ650-B0002, Adobe Granite CORS Support
com.adobe.granite.crx-explorer, 1.1.14.CQ650-B0001, Adobe Granite CRX Explorer
com.adobe.granite.crx-packagemgr, 1.2.80.CQ650-B0050, Adobe Granite CRX Package Manager
com.adobe.granite.crxde-lite, 1.1.44.CQ651-B0008, Adobe Granite CRXDE Lite
com.adobe.granite.crypto.extension, 0.0.6, Adobe Granite Crypto Extension
com.adobe.granite.crypto.jcr, 0.0.6, Adobe Granite Crypto JCR Key Provider
com.adobe.granite.crypto.keystore, 3.3.10, Adobe Granite Crypto Keystore
com.adobe.granite.csrf, 1.0.20.CQ650-B0002, Adobe Granite CSRF Framework
com.adobe.granite.distribution.core, 0.2.54.B0004, Adobe Granite Sling Distribution - Core
com.adobe.granite.frags.impl, 0.0.2, Adobe Granite Frags
com.adobe.granite.httpcache.core, 1.0.8, Adobe Granite HTTP Cache - Core Bundle
com.day.cq.cq-i18n, 5.5.16.CQ652-B0001, Adobe Granite I18N Module
com.adobe.granite.jetty.ssl, 1.0.4.CQ650-B0005, Adobe Granite SSL ContextFactory for Jetty
com.adobe.granite.jobs.async, 1.0.34, Adobe Granite Async Jobs
com.adobe.granite.logging, 1.0.26, Granite Logging - Analysis
com.adobe.granite.maintenance.core, 1.3.46, Adobe Granite Maintenance Core
com.adobe.granite.monitoring.core, 1.0.8, Adobe Granite Monitoring Support
com.adobe.granite.oauth.jwt, 0.1.0, Granite OAuth JWT
com.adobe.granite.offloading.core, 1.0.74, Adobe Granite Offloading Core
com.adobe.granite.offloading.workflow, 1.0.14, Adobe Granite Offloading Workflow
com.adobe.granite.omnisearch.core, 1.0.91.CQ650-B0004, Adobe Granite Omnisearch Core Module
com.adobe.granite.operations.ui.core, 0.0.68, Adobe Granite Operations Dashboard UI Core Package
com.adobe.granite.optout, 1.0.0, Adobe Granite Opt-Out Module
com.adobe.granite.osgi.wrapper.markdownj, 0.3.0.2_0_2b4-002, MarkdownJ Wrapper bundle
com.adobe.granite.queries, 1.0.77.CQ650-B0008, Granite Queries
com.adobe.granite.references.core, 1.1.0.CQ659-B0007, Adobe Granite References Core Bundle
com.day.cq.cq-replication, 6.2.86.CQ650-B0009, Adobe Granite Replication
com.adobe.granite.replication.hc.impl, 1.0.30, Adobe Granite Health Checks related to Replication
com.adobe.granite.repository.checker, 1.0.0, Adobe Granite Repository Check bundle
com.adobe.granite.repository.hc.impl, 1.0.65.CQ650-B008, Adobe Granite Health Checks for the Repository
com.adobe.granite.requests.logging, 1.0.20, Granite Requests Logging
com.adobe.granite.resourceresolverhelper, 1.0.4, Adobe Granite ResourceResolver Helper
com.adobe.granite.resourcestatus, 1.0.2, Adobe Granite Resource Status Bundle
com.adobe.granite.rest.api, 1.1.16.CQ650-B0008, Adobe Granite RESTful API Core
com.adobe.granite.rest.assets, 1.0.58.CQ650-B0003, Adobe Granite RESTful API Assets
com.adobe.granite.scribe, 1.3.8, OSGi bundle wrapper for the Scribe library
com.adobe.granite.security.permissions, 0.0.18.CQ650-B002, Adobe Granite Security Permissions Module
com.adobe.granite.security.ui, 1.0.58.CQ651-B0006, Adobe Granite Security UI Module
com.adobe.granite.security.user, 0.4.63.CQ650-B0012, Adobe Granite Security Module
com.adobe.granite.socialgraph, 0.1.4, Adobe Granite Social Graph
com.adobe.granite.socketio, 1.0.4, Adobe Granite SocketIO - Core
com.adobe.granite.taskmanagement.api, 1.0.4, Adobe Granite Taskmanagement API
com.adobe.granite.taskmanagement.core, 1.0.54.CQ650-B0001, Adobe Granite Taskmanagement Core
com.adobe.granite.taskmanagement.workflow, 1.0.10.CQ650-B0002, Adobe Granite Taskmanagement Workflow Integration
com.adobe.granite.threaddump, 1.0.36.CQ650-B0001, Adobe Granite Thread Dumps collector
com.adobe.granite.timeline, 1.0.26.CQ650-B007, Adobe Granite Timeline Support
com.adobe.granite.translation.api, 1.2.4, Granite Translation - Translation API
com.adobe.granite.translation.connector.msft.core, 1.3.28, Granite Translation - Microsoft Connector Core Bundle
com.adobe.granite.translation.core, 1.1.60.CQ650-B0004, Granite Translation - Translation Core
com.adobe.granite.ui.clientlibs, 1.0.92.CQ650-B0006, Adobe Granite UI Clientlibs
com.adobe.granite.ui.clientlibs.compiler.less, 1.0.6, Adobe Granite UI Clientlibs - Less Compiler
com.adobe.granite.ui.clientlibs.processor.gcc, 1.0.24, Adobe Granite UI Clientlibs - Google Closure Compiler
com.adobe.granite.ui.commons, 5.10.15.CQ650-B0020, Adobe Granite UI Commons
com.adobe.granite.ui.tags, 1.0.0, Adobe Granite UI Tags
com.adobe.granite.webconsole.plugins, 1.0.12, Granite Webconsole Plugins
com.adobe.granite.workflow.api, 1.0.22.CQ650-B0007, Adobe Granite Workflow API
com.adobe.granite.workflow.console, 1.0.118.CQ652-B0005, Adobe Granite Workflow Console
com.adobe.granite.workflow.core, 2.0.240.CQ680-B0017, Adobe Granite Workflow Core
com.day.cq.cq-xssprotection, 5.8.0, Adobe Granite XSS Protection
com.adobe.suitetech.nativecomm, 2.0.8, Adobe :: SuiteTech :: Nativecomm
com.day.commons.osgi.wrapper.fop, 1.16.0, Apache FOP bundle
com.day.commons.osgi.wrapper.simple-jndi, 0.11.14.1_0010, Day Commons Library - Simple JNDI
com.day.cq.cq-widgets, 6.0.8, Adobe Granite UI Widgets
org.apache.commons.email, 1.5.0, Apache Commons Email
org.apache.commons.exec, 1.3.0, Apache Commons Exec
org.apache.commons.commons-imaging, 1.0.0.alpha3, Apache Commons Imaging
org.apache.commons.math, 2.2.0, Commons Math
com.adobe.cq.smartcontent-core, 0.2.10, SmartContent - Core Implementation
com.adobe.cq.cq-account, 1.2.2, Adobe CQ Account Management
com.adobe.cq.cq-activitymap-integration, 1.2.6, AEM 6 ActivityMap Integration Bundle
com.adobe.cq.cq-address, 1.4.4, Adobe CQ Address
com.adobe.cq.cq-analytics-integration, 1.3.36, AEM 6 Analytics Integration Bundle
com.day.cq.cq-audit, 6.3.6, Day Communique 5 Audit Bundle
com.day.cq.cq-chart, 5.10.2, Day Communique 5 Charting
com.adobe.cq.cq-cloudservices-provisioning, 1.2.6, AEM Cloud Services - Provisioning Bundle
com.day.cq.wcm.cq-command, 1.1.39.CQ650-B0001, Adobe Experience Manager Command Implementation
com.adobe.cq.commerce.cq-commerce-core, 5.17.20, Adobe Communique 5 Commerce Core
com.adobe.cq.commerce.cq-commerce-pim, 5.14.14, Adobe Communique 5 Commerce Product Information Manager
com.adobe.cq.commerce.cq-commerce-social, 0.10.4, Adobe Communique 5 Commerce Social
com.day.cq.cq-commons, 5.12.16, Day Communique 5 Commons Library
com.day.cq.cq-compat-commons-auth, 0.1.6, Day Communique 5 Compatiblity: Apache Sling Commons Auth Interim API
com.day.cq.cq-connector, 5.10.2, Day Communique 5 JCR Connector Integration
com.adobe.cq.cq-content-insight, 1.5.10, Adobe CQ Content Insight and Recommendations
com.day.cq.cq-content-sync, 5.12.33.CQ650-B0004, Day Communique 5 Content Sync
com.adobe.cq.cq-contexthub-commons, 1.1.4, Adobe CQ ContextHub Commons
com.day.cq.dam.cq-dam-annotation-print, 0.2.7.CQ650-B0001, Adobe CQ DAM annotation print implementation
com.day.cq.dam.cq-dam-api, 6.0.35.CQ650-B0002, Day Communique 5 DAM API
com.day.cq.dam.cq-dam-asset-usage, 0.2.10, Day Communique 6.0 DAM Asset Usage Implementation
com.adobe.dam.cq-dam-cfm-api, 1.3.26, ContentFragmentManagement - API
com.adobe.dam.cq-dam-cfm-haf, 1.0.14, ContentFragmentManagement - HTTP API
com.adobe.dam.cq-dam-cfm-impl, 0.11.149.CQ650-B0006, ContentFragmentManagement - Implementation
com.day.cq.dam.cq-dam-commons, 5.12.178.CQ656-B0005, Day Communique 5 DAM Commons
com.day.cq.dam.cq-dam-core, 5.12.395.CQ652-B0013, Day Communique 5 DAM Core Implementation
com.day.cq.dam.cq-dam-entitlement, 1.3.38, Adobe CQ DAM Entitlement Implementation
com.day.cq.dam.cq-dam-handler, 5.12.21.CQ650-B0001, Day Communique 5 DAM Asset Handler Implementation
com.day.cq.dam.cq-dam-indesign, 5.12.26, Day Communique 5 DAM InDesign Integration
com.adobe.cq.cq-dam-index-builder, 1.4.2, Adobe CQ DAM - Index Builder
com.adobe.cq.cq-dam-mac-sync, 1.5.16.CQ650-B0002, Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle
com.adobe.cq.cq-dam-mac-sync-helper, 1.5.38, Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Helper
com.day.cq.dam.cq-dam-pim, 0.5.4, Day Communique 5 DAM PIM Integration Implementation
com.adobe.cq.dam.cq-dam-processor-api, 1.0.6, Adobe CQ Nui API
com.adobe.cq.dam.cq-dam-processor-nui, 1.0.10, Adobe CQ Nui Bundle
com.day.cq.dam.cq-dam-rating, 1.2.2, Day Communique 5 Assets Rating
com.day.cq.dam.cq-dam-similaritysearch, 5.12.27.CQ650-B0004, DAM Similarity Search Bundle
com.day.cq.dam.cq-dam-stock-integration, 1.2.8.CQ650-B0004, Adobe CQ DAM Stock Integration
com.adobe.cq.dam.cq-dam-svg-handler, 0.4.17.CQ650-B0004, Adobe CQ Creative Cloud APIs - DAM SVG Asset Handler
com.day.cq.dam.cq-dam-video, 5.12.16, Day Communique 5 DAM Video Extensions
com.day.cq.dam.cq-dam-word, 5.12.10, Day Communique 5 DAM Word Integration
com.adobe.cq.cq-dashboards, 5.9.2, Adobe Communique 5 Dashboards
com.adobe.cq.dam.cq-delivery-api, 1.3.0.CQ650-B0001, Adobe CQ DAM Delivery API
com.adobe.cq.dam.cq-delivery-internal-api, 1.2.8, Adobe CQ DAM Delivery Internal API
com.adobe.cq.cq-dtm, 0.5.12, Adobe CQ - DTM Integration Bundle
com.adobe.cq.dam.cq-dynamicmedia-api, 1.0.12, AEM Dynamic Media Integration API
com.adobe.cq.dam.cq-dynamicmedia-core, 1.0.170.CQ650-B0006, AEM Dynamic Media Integration
com.adobe.cq.cq-experience-fragments, 1.2.105.CQ650-B0002, AEM - Experience Fragments
com.adobe.cq.cq-experience-fragments-social, 1.2.4, AEM - Experience Fragments Social
com.adobe.cq.cq-experiencelog, 1.4.20, Adobe CQ Experience Log Client Bundle
